retailer,source,name,price_text,unit_price,tipo_produccion,eu_code,production_label,classify_source,is_shell_egg,cage_free,note,error
Carrefour,carrefour_browser_snapshot,Huevos Frescos Carrefour El Mercado 24 ud.,"5,59 €","2,79 €/docena",Suelo,2,barn,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos camperos Pazo de Vilane 12 ud.,"4,38 €","4,38 €/docena",Campero,1,free-range,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos Camperos Círculo de Calidad 6 ud,"2,40 €","4,80 €/docena",Campero,1,free-range,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos Frescos Carrefour El Mercado 12 ud.,"3,19 €","3,19 €/docena",Suelo,2,barn,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos Camperos Círculo de Calidad 12 ud.,"3,99 €","3,99 €/docena",Campero,1,free-range,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos Ecológicos Carrefour Bio 10 ud.,"4,69 € 4,45 €","5,63 €/docena | 5,34 €/docena",Ecológicos,0,organic,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Clara de huevo pasteurizada Carrefour Classic' 1 l.,"2,85 €","2,85 €/l",,,unknown,unknown,false,,,
Carrefour,carrefour_browser_snapshot,Huevos M-L ecológicos Carrefour Bio 6 ud.,"2,85 €","5,70 €/docena",Ecológicos,0,organic,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Clara de huevo líquido pasteurizado Roig 500 g,"3,44 €","6,88 €/kg",Suelo,2,barn,tipo_produccion_field,false,true,,
Carrefour,carrefour_browser_snapshot,Huevos de gallinas criadas en suelo Carrefour El Mercado 6 ud.,"1,75 €","3,50 €/docena",Suelo,2,barn,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos L-M camperos Granjas Villarreal 6 ud,"2,30 €","4,60 €/docena",Campero,1,free-range,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos de codorniz Dagu 18 ud.,"1,85 €","1,23 €/docena",Jaula,3,caged,tipo_produccion_field,false,false,,
Carrefour,carrefour_browser_snapshot,Huevo cocido campero Carrefour El Mercado 6 ud.,"3,19 €","6,38 €/docena",Campero,1,free-range,tipo_produccion_field,false,true,,
Carrefour,carrefour_browser_snapshot,Huevos L Naturelle Roig 10 ud.,"3,45 €","4,14 €/docena",Suelo,2,barn,tipo_produccion_field,true,true,,
Carrefour,carrefour_browser_snapshot,Huevos XL Roig 6 ud.,"3,59 €","7,18 €/docena",Suelo,2,barn,tipo_produccion_field,true,true,,
Mercadona,mercadona_api,Huevos,,,,,unknown,unknown,true,,,
Mercadona,mercadona_api,Huevos super grandes XL,,,Jaula,3,caged,tipo_produccion_field,true,false,,
Mercadona,mercadona_api,Huevos grandes L,,,Jaula,3,caged,tipo_produccion_field,true,false,,
Mercadona,mercadona_api,Huevos grandes L,,,Jaula,3,caged,tipo_produccion_field,true,false,,
Mercadona,mercadona_api,Huevos medianos M,,,Jaula,3,caged,tipo_produccion_field,true,false,,
Mercadona,mercadona_api,Huevos de gallinas camperas,,,Campero,1,free-range,tipo_produccion_field,true,true,,
Mercadona,mercadona_api,Huevos de gallinas camperas,,,Campero,1,free-range,tipo_produccion_field,true,true,,
Mercadona,mercadona_api,Huevos cocidos,,,,,unknown,unknown,false,,,
Mercadona,mercadona_api,Huevos de codorniz,,,,,unknown,unknown,false,,,
Mercadona,mercadona_api,Claras de huevo líquidas pasteurizadas,,,,,unknown,unknown,false,,,
Mercadona,mercadona_api,Claras de huevo líquidas pasteurizadas,,,,,unknown,unknown,false,,,
Lidl,external_only,,,,,,n/a,n/a,,,Lidl.es online catalogue does not include fresh shell eggs (in-store only). Cage-free status: 100% per EggTrack 2024 (Leader) and OBA April 2025 audit.,
Eroski,eroski_html,"Huevo fresco campero EUSKO LABEL EUSKABER, cartón 10 uds",,,,1,free-range,name_keyword,true,true,,
Eroski,eroski_html,"Huevo fresco del País Vasco EROSKI NATUR BIO, cartón 6 uds",,,,0,organic,name_keyword,true,true,,
Eroski,eroski_html,"Huevo campero País Vasco M/L EROSKI Natur, cartón 6 uds",,,,1,free-range,name_keyword,true,true,,
Eroski,eroski_html,"Huevo de caserío EUSKO LABEL BASERRIKO EUSKABER, cartón 6 uds",,,,1,free-range,name_keyword,true,true,,
Eroski,eroski_html,"Huevo ecológico HOBEA, cartón 6 uds",,,Ecológicos,0,organic,tipo_produccion_field,true,true,,
Eroski,eroski_html,"Huevo campero HOBEA, cartón 6 uds",,,,1,free-range,name_keyword,true,true,,
Eroski,eroski_html,"Huevo de codorniz HOBEA, caja 12 uds",,,,,unknown,unknown,false,,,
Eroski,eroski_html,"Huevo cocido de codorníz HOBEA, frasco 18 uds",,,,,unknown,unknown,false,,,
Eroski,eroski_html,"Huevo fresco M EUSKALOVO, caja 10 docenas",,,,,unknown,unknown,true,,,
Eroski,eroski_html,"Huevo suelo M/L EROSKI, cartón 18 uds",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevos frescos M EROSKI, cartón 12 uds",,,,,unknown,unknown,true,,,
Eroski,eroski_html,"Huevo fresco M suelo EROSKI, cartón 1 docena",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevo M suelo HOBEA, cartón 12 uds.",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevos L EROSKI, cartón 18 uds",,,Jaula,3,caged,tipo_produccion_field,true,false,,
Eroski,eroski_html,"Huevo fresco L EROSKI, cartón 12 uds.",,,,,unknown,unknown,true,,,
Eroski,eroski_html,"Huevo fresco L suelo EROSKI, cartón 1 docena",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevo fresco L EUSKALOVO, caja 10 docenas",,,,,unknown,unknown,true,,,
Eroski,eroski_html,"Huevo L suelo HOBEA, cartón 12 uds",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevo suelo L EROSKI, cartón 6 uds.",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevo cocido EROSKI, cartón 6 uds",,,,,unknown,unknown,false,,,
Eroski,eroski_html,"Huevo fresco suelo XL HOBEA, cartón 12 uds",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevo fresco suelo L/XL EROSKI, cartón 6 uds",,,,2,barn,name_keyword,true,true,,
Eroski,eroski_html,"Huevo fresco XL EROSKI, cartón 12 uds",,,,,unknown,unknown,true,,,
Eroski,eroski_html,"Clara huevo HOBEA, botella 300 ml",,,,,unknown,unknown,false,,,
Eroski,eroski_html,"Clara de huevo pasteurizada HOBEA, botella 1 litro",,,,,unknown,unknown,false,,,
Eroski,eroski_html,"Clara líquida pasteurizada PASCUAL, botella 1 litro",,,,,unknown,unknown,false,,,
Caprabo,caprabo_html,"Ous camperos L ROIG, cartó 1 dotzena",,,,1,free-range,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc L camperol vall mestral ROIG, cartó 6 u",,,,1,free-range,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc Catalunya EROSKI Natur BIO, cartró 6 uts",,,,0,organic,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou ecològic L/M LIDEROU, 6 u",,,,0,organic,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou viubio ecològic L/XL ROIG, caixa 10 u",,,,0,organic,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou XL ecològic LIDEROU, cartó 6 u",,,,0,organic,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc M/L ecològic viubio ROIG, cartó 6 u",,,,0,organic,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc L camperol cistella ROIG, cartó 6 u",,,,1,free-range,name_keyword,true,true,,
Caprabo,caprabo_html,"Matines Ous de codorniu pelats LIDEROU, 18 u",,,,,unknown,unknown,false,,,
Caprabo,caprabo_html,"Ou fresc sòl M/L EROSKI CATALUNYA, 18 u",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ous M sòl ROIG, cartó 6 u",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc M sòl Catalunya EROSKI, cartó 1 dotzena",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ous picaterra L LIDEROU, cartó 6 u.",,,,,unknown,unknown,true,,,
Caprabo,caprabo_html,"Ou fresc L sòl ROIG, cartó 12 u",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc L sòl Catalunya EROSKI, cartó 1 dotzena",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc L sòl naturelle ROIG, 10 u",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ous terra L EROSKI, cartó 6 unit.",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc L sòl cistella ROIG, cartó 8 u",,,,2,barn,name_keyword,true,true,,
Caprabo,caprabo_html,"Ou fresc XL cistella ROIG, 1/2 dotzena",,,,,unknown,unknown,true,,,
Caprabo,caprabo_html,"Ous terra L/XL EROSKI, cartó 6 unit.",,,,2,barn,name_keyword,true,true,,
DIA,soysuper_aggregator,Huevos frescos categoría A clase L Dia 18 unidades,4.69 €,0.26 €/unidad,,,unknown,unknown,true,,,
DIA,soysuper_aggregator,Huevos medianos M Dia,5.75 €,0.24 €/unidad,,,unknown,unknown,true,,,
DIA,soysuper_aggregator,Huevos grandes L Dia,3.2 €,0.27 €/unidad,,,unknown,unknown,true,,,
DIA,soysuper_aggregator,Huevos medianos M Dia,3 €,0.25 €/unidad,,,unknown,unknown,true,,,
DIA,soysuper_aggregator,Huevos ecológicos grandes/medianos M/L Dia,3.05 €,0.51 €/unidad,Ecológicos,0,organic,tipo_produccion_field,true,true,,
DIA,soysuper_aggregator,Huevos camperos medianos/grandes M/L Dia,3.29 €,0.33 €/unidad,Campero,1,free-range,tipo_produccion_field,true,true,,
DIA,soysuper_aggregator,Huevos extragrandes l/xl de gallinas criadas en suelo Dia,2.2 €,0.37 €/unidad,Suelo,2,barn,tipo_produccion_field,true,true,,
DIA,soysuper_aggregator,Huevos medianos M de gallinas criadas en suelo Dia,3 €,0.25 €/unidad,Suelo,2,barn,tipo_produccion_field,true,true,,
DIA,soysuper_aggregator,Huevos grandes L de gallinas criadas en suelo Dia,3.2 €,0.27 €/unidad,Suelo,2,barn,tipo_produccion_field,true,true,,
DIA,soysuper_aggregator,Huevos medianos/grandes M/L de gallinas criadas en el suelo Dia,3.49 €,0.29 €/unidad,Suelo,2,barn,tipo_produccion_field,true,true,,
